column_name,data_type,missing_count,unique_values,description
container_restart_count,int64,0,1,
deployment_available_replicas,int64,0,1,
deployment_replicas,int64,0,1,
hpa_current_cpu_utilization,int64,0,1,
hpa_current_replicas,int64,0,5,
hpa_desired_replicas,int64,0,5,
hpa_efficiency,float64,0,13,
hpa_target_cpu_utilization,int64,0,1,
http_error_rate,float64,0,1,
http_request_rate,float64,0,2508,
http_response_time_mean,float64,0,2508,
http_response_time_p50,float64,0,2485,
http_response_time_p90,float64,0,2510,
http_response_time_p99,float64,0,2515,
http_response_time_std,float64,0,2515,
http_success_rate,float64,0,1,
label,object,0,2,
network_drop_in,int64,0,1,
network_drop_out,int64,0,1,
network_errors_in,int64,0,1,
network_errors_out,int64,0,1,
network_in,int64,0,2515,
network_out,int64,0,2515,
network_packets_in,int64,0,2515,
network_packets_out,int64,0,2515,
pod_count,int64,0,7,
pod_count_mean_3,float64,0,17,
pod_cpu_usage_cores,float64,0,107,
pod_cpu_usage_cores_mean_3,float64,0,295,
pod_cpu_usage_cores_std_3,float64,0,578,
pod_failed_count,int64,0,2,
pod_memory_usage_bytes,int64,0,16,
pod_pending_count,int64,0,4,
pod_ready_count,int64,0,7,
pod_restart_count,int64,0,1,
